 Default Work In Progress Warehouse , คลังสินค้าสำหรับงานระหว่างทำเริ่มต้น ,
 Is Child Table, เป็นตารางลูก,
 Is Subcontracted, เป็นงานเหมาช่วง,
 Skip Material Transfer, ข้ามขั้นตอนการย้ายวัสดุ,
%  Delivered,% จัดส่งแล้ว,
% Amount Billed,% จำนวนเงินที่เรียกเก็บ,
% Billed,% เรียกเก็บเงินแล้ว,
% Complete Method,% เสร็จสมบูรณ์,
% Completed,% สมบูรณ์,
% Delivered,% จัดส่งแล้ว,
% Installed,% ติดตั้งแล้ว,
% Ordered,% สั่งแล้ว,
% Picked,% เลือกแล้ว,
% Process Loss,% การสูญเสียจากกระบวนการ,
% Progress,% ความคืบหน้า,
% Received,% ได้รับ,
% Returned,% ส่งคืน,
% of materials billed against this Sales Order,% ของวัสดุที่ถูกเรียกเก็บเงินตามใบสั่งขายนี้,
% of materials delivered against this Sales Order,% ของวัสดุที่ถูกเรียกเก็บเงินตามใบสั่งขายนี้,
(Hour Rate / 60) * Actual Operation Time,(อัตราชั่วโมง / 60) * เวลาดำเนินการจริง,
(Purchase Order + Material Request + Actual Expense),(คำสั่งซื้อ + คำขอวัสดุ + ค่าใช้จ่ายจริง),
(including),(รวมถึง),
* Will be calculated in the transaction.,* จะถูกคำนวณในธุรกรรม,
1 Loyalty Points = How much base currency?,1 คะแนนสะสม = เท่าไหร่ในสกุลเงินฐาน?,
1 hr,1 ชม.,
2 Yearly,ทุก 2 ปี,
3 Yearly,ทุก 3 ปี,
30 mins,30 นาที,
6 hrs,6 ชั่วโมง,
API Key,คีย์ API,
Abbr,ตัวย่อ,
About,เกี่ยวกับ,
Account,บัญชี,
Accounts Payable,เจ้าหนี้การค้า,
Accounts Receivable,ลูกหนี้การค้า,
Accounts Settings,การตั้งค่าบัญชี,
Accumulated Depreciation,ค่าเสื่อมราคาสะสม,
Actions,การดำเนินการ,
Address,ที่อยู่,
Address Line 1,ที่อยู่บรรทัดที่ 1,
Address Line 2,ที่อยู่บรรทัดที่ 2,
Allow,อนุญาต,
Allow Account Creation Against Child Company,อนุญาตให้สร้างบัญชีกับบริษัทลูก,
Area,พื้นที่,
Area UOM,หน่วยวัดพื้นที่,
As per Stock UOM,ตามหน่วยวัดสต็อก,
Assembly Items,รายการชิ้นส่วนประกอบ,
Asset,สินทรัพย์,
Asset Account,บัญชีสินทรัพย์,
Asset Activity,กิจกรรมสินทรัพย์,
Asset Capitalization,การเพิ่มมูลค่าสินทรัพย์,
Asset Capitalization Asset Item,รายการสินทรัพย์ที่เพิ่มมูลค่าสินทรัพย์,
Asset Capitalization Service Item,รายการบริการที่เพิ่มมูลค่าสินทรัพย์,
Asset Capitalization Stock Item,รายการสต็อกที่เพิ่มมูลค่าสินทรัพย์,
Asset Category,หมวดหมู่สินทรัพย์,
Asset Category Account,บัญชีหมวดหมู่สินทรัพย์,
Asset Category Name,ชื่อหมวดหมู่สินทรัพย์,
Asset Depreciation Cost Center,ศูนย์ต้นทุนค่าเสื่อมราคาสินทรัพย์,
Asset Depreciation Ledger,บัญชีแยกประเภทค่าเสื่อมราคาสินทรัพย์,
Asset Depreciation Schedule,ตารางค่าเสื่อมราคาสินทรัพย์,
Asset Depreciations and Balances,ค่าเสื่อมราคาสินทรัพย์และยอดคงเหลือ,
Asset Details,รายละเอียดสินทรัพย์,
Asset Disposal,การจำหน่ายสินทรัพย์,
Asset Finance Book,สมุดการเงินสินทรัพย์,
Asset Location,ตำแหน่งสินทรัพย์,
Asset Maintenance,การบำรุงรักษาสินทรัพย์,
Asset Maintenance Log,บันทึกการบำรุงรักษาสินทรัพย์,
Asset Maintenance Task,งานบำรุงรักษาสินทรัพย์,
Asset Maintenance Team,ทีมบำรุงรักษาสินทรัพย์,
Asset Movement,การเคลื่อนย้ายสินทรัพย์,
Asset Movement Item,รายการการเคลื่อนย้ายสินทรัพย์,
Asset Name,ชื่อสินทรัพย์,
Asset Naming Series,ชุดการตั้งชื่อสินทรัพย์,
Asset Owner,เจ้าของสินทรัพย์,
Asset Owner Company,บริษัทเจ้าของสินทรัพย์,
Asset Quantity,ปริมาณสินทรัพย์,
Asset Received But Not Billed,สินทรัพย์ที่ได้รับแต่ยังไม่ได้เรียกเก็บเงิน,
Asset Repair,การซ่อมแซมสินทรัพย์,
Asset Repair Consumed Item,รายการที่ใช้ในการซ่อมแซมสินทรัพย์,
Asset Repair Purchase Invoice,ใบแจ้งหนี้การซื้อสำหรับการซ่อมแซมสินทรัพย์,
Asset Settings,การตั้งค่าสินทรัพย์,
Asset Shift Allocation,การจัดสรรกะสินทรัพย์,
Asset Shift Factor,ปัจจัยกะสินทรัพย์,
Asset Status,สถานะสินทรัพย์,
Asset Value,มูลค่าสินทรัพย์,
Asset Value Adjustment,การปรับมูลค่าสินทรัพย์,
Assets,สินทรัพย์,
BOM Comparison Tool,เครื่องมือเปรียบเทียบ BOM,
BOM Created,สร้าง BOM แล้ว,
BOM Creator,ผู้สร้าง BOM,
BOM Creator Item,รายการผู้สร้าง BOM,
BOM Detail No,หมายเลขรายละเอียด BOM,
BOM Explorer,ตัวสำรวจ BOM,
BOM Explosion Item,รายการการระเบิด BOM,
BOM Info,ข้อมูล BOM,
BOM Item,รายการ BOM,
BOM No,หมายเลข BOM,
BOM No (For Semi-Finished Goods),หมายเลข BOM (สำหรับสินค้ากึ่งสำเร็จรูป),
BOM No. for a Finished Good Item,หมายเลข BOM สำหรับสินค้าสำเร็จรูป,
BOM Operation,การดำเนินการ BOM,
BOM Operations Time,เวลาการดำเนินการ BOM,
BOM Search,ค้นหา BOM,
BOM Tree,โครงสร้าง BOM,
BOM Update Batch,อัปเดตชุด BOM,
BOM Update Log,บันทึกการอัปเดต BOM,
BOM Update Tool,เครื่องมืออัปเดต BOM,
BOM Update Tool Log with job status maintained,บันทึกเครื่องมืออัปเดต BOM พร้อมสถานะงานที่บำรุงรักษา,
BOM Variance Report,รายงานความแปรปรวนของ BOM,
BOM Website Item,รายการ BOM บนเว็บไซต์,
BOM Website Operation,การดำเนินการ BOM บนเว็บไซต์,
BOM and Production,BOM และการผลิต,
BOMs Updated,อัปเดต BOM แล้ว,
CC,สำเนาถึง,
CC To,สำเนาถึง,
COGS By Item Group,COGS ตามกลุ่มสินค้า,
CRM Note,บันทึก CRM,
CRM Settings,การตั้งค่า CRM,
Calculate Based On,คำนวณตาม,
Calculate Depreciation,คำนวณค่าเสื่อมราคา,
Calculate Estimated Arrival Times,คำนวณเวลามาถึงโดยประมาณ,
Calculate daily depreciation using total days in depreciation period,คำนวณค่าเสื่อมรายวันโดยใช้จำนวนวันทั้งหมดในช่วงค่าเสื่อม,
Calculations,การคำนวณ,
Calendar Event,เหตุการณ์ในปฏิทิน,
Calibration,การสอบเทียบ,
Call Details,รายละเอียดการโทร,
Call Duration in seconds,ระยะเวลาการโทรเป็นวินาที,
Call Handling Schedule,ตารางการจัดการการโทร,
Call Log,บันทึกการโทร,
Call Received By,การโทรได้รับโดย,
Call Receiving Device,อุปกรณ์รับสาย,
Call Routing,การกำหนดเส้นทางการโทร,
Call Summary,สรุปการโทร,
Call Type,ประเภทการโทร,
Campaign,แคมเปญ,
Campaign Efficiency,ประสิทธิภาพของแคมเปญ,
Campaign Email Schedule,ตารางอีเมลแคมเปญ,
Campaign Item,รายการแคมเปญ,
Campaign Name,ชื่อแคมเปญ,
Campaign Naming By,การตั้งชื่อแคมเปญโดย,
Campaign Schedules,ตารางแคมเปญ,
Cash,เงินสด,
Chart Of Accounts,ผังบัญชี,
Chart Of Accounts Template,เทมเพลตผังบัญชี,
Chart Preview,ผังตัวอย่าง,
Chart Tree,โครงสร้างของผัง,
Chart of Accounts,ผังบัญชี,
Chart of Accounts Importer,ตัวนำเข้าผังบัญชี,
Company,บริษัท,
Control Historical Stock Transactions,ควบคุมธุรกรรมสต็อกในอดีต,
Conversion Factor,ปัจจัยการแปลง,
Conversion Rate,อัตราการแปลง,
Convert Item Description to Clean HTML in Transactions,แปลงคำอธิบายรายการเป็น HTML ที่สะอาดในธุรกรรม,
Converted,แปลงแล้ว,
Copied From,คัดลอกจาก,
Copy Fields to Variant,คัดลอกฟิลด์ไปยังตัวแปร,
Corrective,การแก้ไข,
Corrective Action,การดำเนินการแก้ไข,
Corrective Operation,การดำเนินการแก้ไข,
Corrective Operation Cost,ต้นทุนการดำเนินการแก้ไข,
Corrective/Preventive,การแก้ไข/การป้องกัน,
Cost,ต้นทุน,
Cost Center,ศูนย์ต้นทุน,
Cost Center Allocation,การจัดสรรศูนย์ต้นทุน,
Cost Center Allocation Percentage,เปอร์เซ็นต์การจัดสรรศูนย์ต้นทุน,
Cost Center Allocation Percentages,เปอร์เซ็นต์การจัดสรรศูนย์ต้นทุน,
Cost Center Name,ชื่อศูนย์ต้นทุน,
Cost Center Number,หมายเลขศูนย์ต้นทุน,
Cost Configuration,การกำหนดค่าต้นทุน,
Cost Per Unit,ต้นทุนต่อหน่วย,
Cost of Goods Sold,ต้นทุนขายสินค้าและบริการ,
Cost of Poor Quality Report,รายงานต้นทุนของคุณภาพที่ไม่ดี,
Cost to Company (CTC),ต้นทุนต่อบริษัท (CTC),
Costing,การคำนวณต้นทุน,
Costing Amount,จำนวนการคำนวณต้นทุน,
Costing Details,รายละเอียดการคำนวณต้นทุน,
Costing Rate,อัตราการคำนวณต้นทุน,
Costing and Billing,การคำนวณต้นทุนและการเรียกเก็บเงิน,
Create Chart Of Accounts Based On,สร้างผังบัญชีตาม,
Customer / Item / Item Group,ลูกค้า / รายการ / กลุ่มรายการ,
Customer / Lead Address,ที่อยู่ลูกค้า / ผู้ติดต่อ,
Customer Acquisition and Loyalty,การได้มาของลูกค้าและความภักดี,
Customer Address,ที่อยู่ลูกค้า,
Customer Code,รหัสลูกค้า,
Customer Contact,ผู้ติดต่อของลูกค้า,
Customer Contact Email,อีเมลผู้ติดต่อของลูกค้า,
Customer Credit Balance,ยอดเครดิตของลูกค้า,
Customer Credit Limit,วงเงินเครดิตของลูกค้า,
Customer Defaults,ค่าเริ่มต้นของลูกค้า,
Customer Details,รายละเอียดลูกค้า,
Customer Feedback,ข้อเสนอแนะจากลูกค้า,
Customer Group,กลุ่มลูกค้า,
Customer Group Item,รายการกลุ่มลูกค้า,
Customer Group Name,ชื่อกลุ่มลูกค้า,
Customer Groups,กลุ่มลูกค้า,
Customer Item,รายการของลูกค้า,
Customer Items,รายการของลูกค้า,
Customer Ledger Summary,สรุปบัญชีแยกประเภทของลูกค้า,
Customer Mobile No,หมายเลขมือถือของลูกค้า,
Customer Name,ชื่อลูกค้า,
Customer Naming By,การตั้งชื่อลูกค้าโดย,
Customer Number,หมายเลขลูกค้า,
Customer Number At Supplier,หมายเลขลูกค้าที่ผู้จัดจำหน่าย,
Customer Numbers,หมายเลขลูกค้า,
Customer PO Details,รายละเอียดใบสั่งซื้อของลูกค้า,
Customer Portal Users,ผู้ใช้พอร์ทัลลูกค้า,
Customer Primary Address,ที่อยู่หลักของลูกค้า,
Customer Primary Contact,ผู้ติดต่อหลักของลูกค้า,
Customer Provided,ลูกค้าให้มา,
Customer Territory,เขตลูกค้า,
Customer Type,ประเภทลูกค้า,
Customer Warehouse (Optional),คลังสินค้าของลูกค้า (ไม่บังคับ),
Customer or Item,ลูกค้าหรือรายการ,
Customer's Item Code,รหัสรายการของลูกค้า,
Customer's Purchase Order,ใบสั่งซื้อของลูกค้า,
Customer's Purchase Order Date,วันที่ใบสั่งซื้อของลูกค้า,
Customer's Purchase Order No,หมายเลขใบสั่งซื้อของลูกค้า,
Customer-wise Item Price,ราคาสินค้าตามลูกค้า,
Customers,ลูกค้า,
Customers Without Any Sales Transactions,ลูกค้าที่ไม่มีธุรกรรมการขายใด ๆ,
Customerwise Discount,ส่วนลดตามลูกค้า,
Customs Tariff Number,หมายเลขพิกัดศุลกากร,
Daily,รายวัน,
Daily Time to send,เวลาส่งรายวัน,
Daily Timesheet Summary,สรุปตารางเวลารายวัน,
Dashboard,แดชบอร์ด,
Data Fetch Method,วิธีดึงข้อมูล,
Data Import Configuration,การกำหนดค่าการนำเข้าข้อมูล,
Date,วันที่,
Date Of Retirement,วันที่เกษียณ,
Date Settings,การตั้งค่าวันที่,
Date of Birth,วันเกิด,
Date of Commencement,วันที่เริ่มต้น,
Date of Establishment,วันที่ก่อตั้ง,
Date of Incorporation,วันที่จดทะเบียน,
Date of Issue,วันที่ออก,
Date of Joining,วันที่เข้าร่วม,
Dates,วันที่,
Day,วัน,
Day Of Week,วันในสัปดาห์,
Day to Send,วันที่ส่ง,
Day(s) after invoice date,วันหลังจากวันที่ใบแจ้งหนี้,
Day(s) after the end of the invoice month,วันหลังจากสิ้นเดือนของใบแจ้งหนี้,
Days,วัน,
Days Until Due,จำนวนวันที่เหลือจนถึงกำหนด,
Days before the current subscription period,วันก่อนช่วงการสมัครปัจจุบัน,
DeLinked,ยกเลิกการเชื่อมโยง,
Deal Owner,เจ้าของดีล,
Debit,เดบิต,
Debit Amount,จำนวนเงินเดบิต,
Debit Amount in Account Currency,จำนวนเงินเดบิตในสกุลเงินบัญชี,
Debit Amount in Transaction Currency,จำนวนเงินเดบิตในสกุลเงินธุรกรรม,
Debit Note,ใบลดหนี้,
Debit Note Issued,ออกใบลดหนี้,
"Debit Note will update it's own outstanding amount, even if 'Return Against' is specified.",ใบลดหนี้จะอัปเดตจำนวนเงินคงค้างของตัวเอง แม้ว่าจะระบุ 'คืนกับ' ก็ตาม,
Debit To,เดบิตไปยัง,
Debit in Company Currency,เดบิตในสกุลเงินบริษัท,
Debit to,เดบิตไปยัง,
Debit-Credit Mismatch,เดบิต-เครดิตไม่ตรงกัน,
Debit-Credit mismatch,เดบิต-เครดิตไม่ตรงกัน,
Deduct,หัก,
Deductee Details,รายละเอียดผู้ถูกหัก,
Deductions or Loss,การหักหรือการสูญเสีย,
Default,ค่าเริ่มต้น,
Default Warehouse,คลังสินค้าเริ่มต้น,
Default Warehouse for Sales Return,คลังสินค้าเริ่มต้นสำหรับการคืนสินค้า,
Default Workstation,สถานีงานเริ่มต้น,
Default account will be automatically updated in POS Invoice when this mode is selected.,บัญชีเริ่มต้นจะถูกอัปเดตอัตโนมัติในใบแจ้งหนี้ POS เมื่อเลือกโหมดนี้,
Default settings for your stock-related transactions,การตั้งค่าเริ่มต้นสำหรับธุรกรรมที่เกี่ยวข้องกับสต็อกของคุณ,
Default: 10 mins,ค่าเริ่มต้น: 10 นาที,
Defaults,ค่าเริ่มต้น,
Deferred Accounting,การบัญชีรอตัดบัญชี,
Deferred Accounting Defaults,ค่าเริ่มต้นการบัญชีรอตัดบัญชี,
Deferred Accounting Settings,การตั้งค่าการบัญชีรอตัดบัญชี,
Deferred Expense,ค่าใช้จ่ายรอตัดบัญชี,
Deferred Expense Account,บัญชีค่าใช้จ่ายรอตัดบัญชี,
Deferred Revenue,รายได้รอตัดบัญชี,
Deferred Revenue Account,บัญชีรายได้รอตัดบัญชี,
Deferred Revenue and Expense,รายได้และค่าใช้จ่ายรอตัดบัญชี,
Delay between Delivery Stops,ความล่าช้าระหว่างจุดหยุดการจัดส่ง,
Delayed Item Report,รายงานรายการที่ล่าช้า,
Delayed Order Report,รายงานคำสั่งซื้อที่ล่าช้า,
Delayed Tasks Summary,สรุปงานที่ล่าช้า,
Delete Accounting and Stock Ledger Entries on deletion of Transaction,ลบรายการบัญชีและบัญชีแยกประเภทสต็อกเมื่อทำการลบธุรกรรม,
Delete Bins,ลบถัง,
Delete Cancelled Ledger Entries,ลบรายการบัญชีแยกประเภทที่ถูกยกเลิก,
Delete Leads and Addresses,ลบลีดและที่อยู่,
Delete Transactions,ลบธุรกรรม,
Deleted,ลบแล้ว,
Delimiter options,ตัวเลือกตัวคั่น,
Delivered,จัดส่งแล้ว,
Delivered By Supplier,จัดส่งโดยผู้จัดจำหน่าย,
Delivered Items To Be Billed,รายการที่จัดส่งที่ต้องเรียกเก็บเงิน,
Delivered Qty,ปริมาณที่จัดส่งแล้ว,
Delivered by Supplier (Drop Ship),จัดส่งโดยผู้จัดจำหน่าย (Drop Ship),
Delivery,การจัดส่ง,
Delivery Date,วันที่จัดส่ง,
Delivery Details,รายละเอียดการจัดส่ง,
Delivery Manager,ผู้จัดการการจัดส่ง,
Delivery Note,ใบส่งของ,
Delivery Note Item,รายการในใบส่งของ,
Delivery Note No,หมายเลขใบส่งของ,
Delivery Note Packed Item,รายการที่บรรจุในใบส่งของ,
Delivery Note Trends,แนวโน้มใบส่งของ,
Delivery Settings,การตั้งค่าการจัดส่ง,
Delivery Status,สถานะการจัดส่ง,
Delivery Stop,จุดหยุดการจัดส่ง,
Delivery Stops,จุดหยุดการจัดส่ง,
Delivery To,จัดส่งถึง,
Delivery Trip,การเดินทางจัดส่ง,
Delivery User,ผู้ใช้การจัดส่ง,
Delivery Warehouse,คลังสินค้าสำหรับการจัดส่ง,
Delivery to,จัดส่งถึง,
Depreciation,ค่าเสื่อมราคา,
Direct Income,รายได้ทางตรง,
Documents,เอกสาร,
Documents Processed on each trigger. Queue Size should be between 5 and 100,เอกสารถูกประมวลผลในแต่ละทริกเกอร์ ขนาดคิวควรอยู่ระหว่าง 5 ถึง 100,
Domain,โดเมน,
Don't Create Loyalty Points,อย่าสร้างคะแนนสะสม,
Don't Enforce Free Item Qty,อย่าบังคับปริมาณรายการฟรี,
Don't Send Emails,อย่าส่งอีเมล,
Done,เสร็จสิ้น,
Doors,ประตู,
Double Declining Balance,ยอดลดลงสองเท่า,
Download Required Materials,ดาวน์โหลดวัสดุที่จำเป็น,
Download Template,ดาวน์โหลดเทมเพลต,
Downtime,เวลาหยุดทำงาน,
Downtime Analysis,การวิเคราะห์เวลาหยุดทำงาน,
Downtime Entry,รายการเวลาหยุดทำงาน,
Downtime Reason,เหตุผลของเวลาหยุดทำงาน,
Draft,ร่าง,
Driver,คนขับ,
Driver Address,ที่อยู่คนขับ,
Driver Email,อีเมลคนขับ,
Driver Name,ชื่อคนขับ,
Driver licence class,ประเภทใบขับขี่,
Driving License Categories,หมวดหมู่ใบขับขี่,
Driving License Category,หมวดหมู่ใบขับขี่,
Drop Ship,ส่งตรง,
Due Date,วันที่ครบกำหนด,
Due Date Based On,วันที่ครบกำหนดตาม,
Dunning,การแจ้งเตือนการชำระเงิน,
Dunning Amount,จำนวนเงินการแจ้งเตือนการชำระเงิน,
Dunning Amount (Company Currency),จำนวนเงินการแจ้งเตือนการชำระเงิน (สกุลเงินบริษัท),
Dunning Fee,ค่าธรรมเนียมการแจ้งเตือนการชำระเงิน,
Dunning Letter,จดหมายแจ้งเตือนการชำระเงิน,
Dunning Letter Text,ข้อความจดหมายแจ้งเตือนการชำระเงิน,
Dunning Level,ระดับการแจ้งเตือนการชำระเงิน,
Dunning Type,ประเภทการแจ้งเตือนการชำระเงิน,
Duplicate,ซ้ำ,
