 Default Work In Progress Warehouse , Подразумевано складиште недовршене производње ,
 Is Child Table, Зависна табела,
 Is Subcontracted, Подуговорено,
 Skip Material Transfer, Прескочи пренос материјала,
%  Delivered,% Испоручено,
% Amount Billed,% Фактурисан износ,
% Billed,% Фактурисанo,
% Complete Method,% Метод извршења,
% Completed,% Завршено,
% Delivered,% Испоручено,
% Installed,% Инсталирано,
% Ordered,% Поручено,
% Picked,% Прикупљено,
% Process Loss,% Губитак у процесу,
% Produced,% Произведено,
% Progress,% Напредак,
% Raw Material Received,% Примљене сировине,
% Raw Material Returned,% Враћене сировине,
% Received,% Примљено,
% Returned,% Враћено,
% of materials billed against this Sales Order,% од материјала фактурисаних у односу на ову продајну поруџбину,
% of materials delivered against this Pick List,% испорученог материјала према овој листи за одабир,
% of materials delivered against this Sales Order,% од материјала испорученим према овој продајној поруџбини,
(Daily Yield * No of Units Produced) / 100,(Дневни принос * број произведених јединица) / 100,
(Good Units Produced / Total Units Produced) × 100,(Исправно произведено јединица / Укупно произведено јединица) × 100,
(Hour Rate / 60) * Actual Operation Time,(Сатница / 60) * Стварно време операције,
(Purchase Order + Material Request + Actual Expense),(Набавна поруџбина + Захтев за набавку + Стварни трошак),
(Total Workstation Time / Manufacturing Time) * 60,(Укупно време радне станице / време производње) * 60,
(including),(укључујући),
* Will be calculated in the transaction.,* Биће израчунато у трансакцији.,
1 Loyalty Points = How much base currency?,1 лојалти поен = Колика је вредност у основној валути?,
1 hr,1 час,
2 Yearly,Два пута годишње,
3 Yearly,Три пута годишње,
30 mins,30 минута,
6 hrs,6 часова,
"<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->","<br>
<h4>Напомена</h4>
<ul>
<li>
Можете користити <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja ознаке</a> у пољима<b>Предмет</b> и <b>Текст</b> за динамичке вредности.
</li><li>
    Сва поља у овој врсти DocType су доступни под <b>доц</b> објектом, а сва поља купца коме ће имејл бити послат доступна су под  <b>купац</b> објектом.
</li></ul>
<h4> Примери</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Наслов</b>:<br><br><pre><code>Извод ставки за {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Текст</b>: <br><br>
<pre><code>Здраво {{ customer.customer_name }},<br>u прилогу је извештај о рачунима од {{ doc.from_date }} до {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->",
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">Други детаљи</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">Нису пронађене банкарске трансакције</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3> Све димензије у центиметрима </h3>
</div>",
