 Default Work In Progress Warehouse , Entrepôt de Travail en Cours par Défaut ,
 Is Child Table, Est Table Enfant,
 Is Subcontracted, Est sous-traité,
 Skip Material Transfer, Ignorer le transfert de matériel,
%  Delivered,% Livré,
% Amount Billed,% Montant facturé,
% Billed,% facturé,
% Complete Method,% Méthode Complète,
% Completed,% complété,
% Delivered,% Livré,
% Installed,% installé,
% Ordered,% commandé,
% Picked,% choisi,
% Process Loss,% de perte de processus,
% Progress,% de progression,
% Received,% reçu,
% Returned,% retourné,
% of materials billed against this Sales Order,% de matériaux facturés sur cette commande de vente,
% of materials delivered against this Pick List,% d'articles livrés par rapport à cette liste de sélection,
% of materials delivered against this Sales Order,% de matériaux livrés par rapport à cette commande,
(Hour Rate / 60) * Actual Operation Time,(Tarif Horaire / 60) * Temps Réel d’Opération,
(Purchase Order + Material Request + Actual Expense),(Bon de commande + Demande de matériel + Dépense réelle),
(including),(compris),
* Will be calculated in the transaction.,* Sera calculé lors de la transaction.,
1 Loyalty Points = How much base currency?,1 point de fidélité = Quel montant en devise de base ?,
1 hr,1 heure,
2 Yearly,2 ans,
3 Yearly,3 Annuel,
30 mins,30 min,
6 hrs,6 heures,
"<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->","<br>
<h4>Note</h4>
<ul>
<li>
Vous pouvez utiliser des <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">tags Jinja</a> dans les éléments <b>Subject</b> et <b>Body</b> pour avoir des valeurs dynamiques.
</li><li>
    Tous les champs dans ce DocType sont disponibles sous l'objet <b>doc</b> et tous les champs pour le client à qui l'email est adressé sont disponibles sous l'objet  <b>customer</b>.
</li></ul>
<h4> Exemples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Relevés de comptes pour {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Bonjour {{ customer.customer_name }},<br>Vous trouverez en pièce-jointe vos relevés de comptes du {{ doc.from_date }} au {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->",
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">Autres détails</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">Aucune transaction bancaire correspondante trouvée</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3> Toutes les dimensions doivent être en centimètres </h3>
</div>",
"<h3>About Product Bundle</h3>

<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
<h4>Example:</h4>
<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>","<h3>À propos du lot de produits</h3>

<p>Constituer un <b>article</b> composé d'autres <b>articles</b>. Utile si vous avez certains <b>articles</b> dans un lot de vente et que vous maintenez un stock individuel de chaque <b>article du lot</b> et non de l'ensemble <b>Article</b>.</p>
<p>Le lot <b>Article</b> aura la variable <code>Article de stock</code> sur <b>Non</b> et <code>Article de vente</code> sur <b>Oui</b>.</p>
<h4>Exemple :</h4>
<p>Si vous vendez des ordinateurs portables et des sacs à dos séparément et bénéficiez d'un prix spécial si le client achète les deux , l'ordinateur portable + le sac à dos constitueront un nouvel élément du pack de produits.</p>",
