 Default Work In Progress Warehouse , انبار پیش‌فرض در جریان تولید ,
 Is Child Table, جدول فرزند است,
 Is Subcontracted, قرارداد فرعی شده است,
 Skip Material Transfer, پرش از انتقال مواد,
%  Delivered,%  تحویل داده شده,
% Amount Billed,% مبلغ صورتحساب شده,
% Billed,% صورتحساب شده,
% Complete Method,روش ٪ تکمیل,
% Completed,% تکمیل شده,
% Delivered,% تحویل داده شده,
% Installed,٪ نصب شده,
% Ordered,% سفارش داده شده,
% Picked,% انتخاب شده,
% Process Loss,% هدررفت فرآیند,
% Produced,% تولید شده,
% Progress,% پیشرفت,
% Raw Material Received,% مواد اولیه دریافتی,
% Raw Material Returned,% مواد اولیه برگشتی,
% Received,% دریافت شده,
% Returned,% برگردانده شده,
% of materials billed against this Sales Order,٪ از مواد در برابر این سفارش فروش صورتحساب شدند,
% of materials delivered against this Pick List,٪ مواد تحویل‌شده بر اساس این لیست انتخاب,
% of materials delivered against this Sales Order,٪ از مواد در برابر این سفارش فروش تحویل شدند,
(Good Units Produced / Total Units Produced) × 100,(واحدهای تولید شده‌ی بی‌نقص / کل واحدهای تولید شده) × ۱۰۰,
(Hour Rate / 60) * Actual Operation Time,(نرخ ساعت / 60) * زمان عملیات واقعی,
(Purchase Order + Material Request + Actual Expense),(سفارش خرید + درخواست مواد + هزینه واقعی),
(Total Workstation Time / Manufacturing Time) * 60,(کل زمان ایستگاه کاری / زمان تولید) * 60,
(including),(شامل),
* Will be calculated in the transaction.,* در تراکنش محاسبه می‌شود.,
1 Loyalty Points = How much base currency?,1 امتیاز وفاداری = ارز پایه چقدر است؟,
1 hr,1 ساعت,
2 Yearly,2 سالانه,
3 Yearly,3 سالانه,
30 mins,30 دقیقه,
6 hrs,6 ساعت,
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">جزئیات دیگر</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">هیچ تراکنش بانکی منطبقی پیدا نشد</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3> همه ابعاد فقط به سانتی‌متر </h3>
</div>",
"<h3>About Product Bundle</h3>

<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
<h4>Example:</h4>
<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>","<h3>درباره باندل محصول</h3>

<p>گروه‌بندی <b>آیتم‌ها</b> به‌صورت یک <b>آیتم</b> دیگر. این کار زمانی مفید است که بخواهید چند <b>آیتم</b> مشخص را در یک بسته قرار دهید و موجودی آیتم‌های بسته‌بندی‌شده را حفظ کنید، نه موجودی آیتم کلی را.</p>
<p>آیتم بسته‌بندی‌شده به‌عنوان <code>آیتم موجودی</code> <b>خیر</b> و به‌عنوان <code>آیتم فروش</code> <b>بله</b> خواهد بود.</p>

<h4>مثال:</h4>
<p>اگر شما لپ‌تاپ‌ها و کوله‌پشتی‌ها را به صورت جداگانه می‌فروشید و قیمت ویژه‌ای برای مشتریانی دارید که هر دو را خریداری می‌کنند، در این صورت لپ‌تاپ + کوله‌پشتی به عنوان یک آیتم باندل محصول جدید خواهد بود.</p>",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">یا</h5>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">تنظیمات شماره حساب</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">مبلغ به حروف</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">تنظیمات تاریخ</label>",
