 Default Work In Progress Warehouse , Varsayılan Devam Eden İş Deposu ,
 Is Child Table, Alt Tablo,
 Is Subcontracted,Alt  Yüklenici,
 Skip Material Transfer, Malzeme Transferini Geç,
%  Delivered,%  Teslim Edildi,
% Amount Billed,% Faturalandırılan Tutar,
% Billed,% Faturalandırıldı,
% Complete Method,Tamamlanma Yüzdesi Yöntemi,
% Completed,% Tamamlandı,
% Delivered,% Teslim Edildi,
% Installed,% Tamamlandı,
% Ordered,% Sipariş Verildi,
% Picked,% Hazır,
% Process Loss,% Proses Kaybı,
% Progress,% İlerleme,
% Received,% Teslim Alındı,
% Returned,% İade Edildi,
% of materials billed against this Sales Order,Bu Satış Siparişine göre faturalandırılan malzemelerin yüzdesi,
% of materials delivered against this Sales Order,Satış Siparişine karşılık teslim edilen malzemelerin yüzdesi,
(Hour Rate / 60) * Actual Operation Time,(Saat Ücreti / 60) * Gerçek Çalışma Süresi,
(Purchase Order + Material Request + Actual Expense),(Satın Alma Siparişi + Malzeme Talebi + Gerçek Gider),
(including),(dahil),
* Will be calculated in the transaction.,* İşlem sırasında hesaplanacaktır.,
1 Loyalty Points = How much base currency?,1 Sadakat Puanı = Ne kadar para birimi?,
1 hr,1 saat,
2 Yearly,2 Yıllık,
3 Yearly,3 Yıllık,
30 mins,30 dakika,
6 hrs,6 Saat,
"<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->","<br>
<h4>Not</h4>
<ul>
<li>
Dinamik değerler için <b>Konu</b> ve <b>Gövde</b> alanlarında <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja etiketlerini</a> kullanabilirsiniz.
</li><li>
    Bu belge türündeki tüm alanlar <b>belge</b> nesnesi altında ve postanın gideceği müşteriye ait tüm alanlar  <b>müşteri</b> nesnesi altında mevcuttur.
</li></ul>
<h4> Örnekler</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Konu</b>:<br><br><pre><code>Hesap Özeti {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Gövde</b>: <br><br>
<pre><code>Merhaba {{ customer.customer_name }},<br>Hesap Özetinizi {{ doc.from_date }} 'den {{ doc.to_date }}'e kadar PFA yapın.</code> </pre></li>
</ul>
<!-- {% endraw %} -->",
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">Diğer Detaylar</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">Eşleşen Banka İşlemi Bulunamadı</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3> Tüm boyutlar sadece santimetre cinsindendir </h3>
</div>",
"<h3>About Product Bundle</h3>

<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
<h4>Example:</h4>
<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>","<h3>Ürün Paketi Hakkında</h3>

<p>Bir grup <b>Ürünü</b> başka bir Üründe toplar. Bu, belirli <b>Ürünleri</b> bir pakette topluyorsanız ve toplu <b>Ürünün</b> değil paketlenmiş <b>Ürünlerin</b> stokunu tutuyorsanız kullanışlıdır.</p>
<p>Paket <b>Ürünü</b> <code>Stok</code> Ürünü mü <b>Hayır</b> ve <code>Satış</code> Ürünü mü <b>Evet</b> olarak ayarlanacaktır.</p>
<h4>Örnek:</h4>
<p>Dizüstü Bilgisayarları ve Sırt Çantalarını ayrı ayrı satıyorsanız ve müşteri her ikisini de satın alırsa özel bir fiyatınız varsa, Dizüstü Bilgisayar + Sırt Çantası yeni bir Ürün Paketinin Ürünü olacaktır.</p>",
"<h3>Currency Exchange Settings Help</h3>
<p>There are 3 variables that could be used within the endpoint, result key and in values of the parameter.</p>
<p>Exchange rate between {from_currency} and {to_currency} on {transaction_date} is fetched by the API.</p>
<p>Example: If your endpoint is exchange.com/2021-08-01, then, you will have to input exchange.com/{transaction_date}</p>","<h3>Döviz Kuru Ayarları Yardımı</h3>
<p>Son nokta, sonuç anahtarı ve parametre değerlerinde kullanılabilecek 3 değişken vardır.</p>
<p> {transaction_date} tarihinde {from_currency} ile {to_currency} arasındaki döviz kuru API tarafından alınır.</p>
<p>Örnek: Son noktanız exchange.com/2024-08-01 ise, exchange.com/{transaction_date}</p>girmeniz gerekecektir.",
"<h4>Body Text and Closing Text Example</h4>

<div>We have noticed that you have not yet paid invoice {{sales_invoice}} for {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}. This is a friendly reminder that the invoice was due on {{due_date}}. Please pay the amount due immediately to avoid any further dunning cost.</div>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your template are the fields in the document. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Gövde Metni ve Kapanış Metni Örneği</h4>

<div> {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}için {{sales_invoice}} faturasını henüz ödemediğinizi fark ettik. Bu, faturanın {{due_date}}tarihinde ödenmesi gerektiğine dair dostane bir hatırlatmadır. Daha fazla ihtar masrafından kaçınmak için lütfen ödenmesi gereken tutarı derhal ödeyin.</div>

<h4>Alan adları nasıl alınır</h4>

<p>Şablonunuzda kullanabileceğiniz alan adları belgede yer alan alanlardır. Herhangi bir belgenin alanlarını Kurulum &gt; Form Görünümünü Özelleştir üzerinden ve belge türünü seçerek öğrenebilirsiniz (örn. Satış Faturası)</p>

<h4>Şablonlama</h4>

<p>Şablonlar Jinja Templating Language kullanılarak derlenir. Jinja hakkında daha fazla bilgi edinmek için <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">bu belgeyi okuyun.</a></p>",
"<h4>Contract Template Example</h4>

<pre>Contract for Customer {{ party_name }}

-Valid From : {{ start_date }} 
-Valid To : {{ end_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Contract)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Sözleşme Şablonu Örneği</h4>

<pre>Müşteri için Sözleşme {{ party_name }}

-Geçerli Başlangıç : {{ start_date }} 
-Geçerli Bitiş : {{ end_date }}
</pre>

<h4>Alan adları nasıl alınır</h4>

<p>Sözleşme Şablonunuzda kullanabileceğiniz alan adları, şablonunu oluşturduğunuz Sözleşmedeki alanlardır. Herhangi bir belgenin alanlarını Kurulum &gt; Form Görünümünü Özelleştir aracılığıyla ve belge türünü (örneğin Sözleşme) seçerek öğrenebilirsiniz</p>

<h4>Şablonlama</h4>

<p>Şablonlar Jinja Templating Language kullanılarak derlenir. Jinja hakkında daha fazla bilgi edinmek için <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">bu belgeyi okuyun</a>.</p>",
