 Default Work In Progress Warehouse , افتراضي العمل في مستودع التقدم ,
% Delivered,% تسليم,
% Ordered,% تم طلبه,
% Received,% تم استلامه,
% Returned,% تم إرجاعه,
(Hour Rate / 60) * Actual Operation Time,(سعر الساعة / 60) * وقت العمل الفعلي,
(including),(تتضمن),
* Will be calculated in the transaction.,* سيتم احتسابه في المعاملة.,
1 Loyalty Points = How much base currency?,1 نقاط الولاء = كم العملة الأساسية؟,
1 hr,1 ساعة,
2 Yearly,عامين,
30 mins,30 دقيقة,
6 hrs,6 ساعات,
A+,+A,
A-,-A,
A4,A4,
AB+,+AB,
AB-,-AB,
AMC Expiry Date,AMC تاريخ انتهاء الاشتراك,
API,واجهة برمجة التطبيقات,
API Endpoint,نقطة وصولAPI,
API Key,مفتاح API,
Abbreviation,اسم مختصر,
Academics User,المستخدمين الأكادميين,
Accepted,مقبول,
Accepted Qty,الكمية المطلوبة,
Accepted Quantity,كمية مقبولة,
Accepted Warehouse,مستودع مقبول,
Account Balance,رصيد حسابك,
Account Currency,عملة الحساب,
Account Details,تفاصيل الحساب,
Account Manager,إدارة حساب المستخدم,
Account Name,اسم الحساب,
Account Number,رقم الحساب,
Account Paid From,حساب مدفوع من,
Account Paid To,حساب مدفوع ل,
Account Subtype,نوع الحساب الفرعي,
Account Type,نوع الحساب,
Account for Change Amount,حساب لتغيير المبلغ,
Accounting,المحاسبة,
Accounting Dimension,البعد المحاسبي,
Accounting Dimension Detail,البعد المحاسبي التفاصيل,
Accounting Dimensions,أبعاد المحاسبة,
Accounting Dimensions ,الأبعاد المحاسبية,
Accounting Entries,القيود المحاسبة,
Accounting Period,فترة المحاسبة,
Accounts,الحسابات,
Accounts Frozen Till Date,الحسابات المجمدة حتى تاريخ,
Accounts Payable,الحسابات الدائنة,
Accounts Payable Summary,ملخص الحسابات المستحقة للدفع,
Accounts Receivable,الحسابات المدينة,
Accounts Receivable Credit Account,حسابات الائتمان حسابات القبض,
Accounts Receivable Discounted Account,حسابات القبض على حساب مخفضة,
Accounts Receivable Summary,ملخص الحسابات المدينة,
Accounts Receivable Unpaid Account,حسابات القبض غير المدفوعة,
Accounts Settings,إعدادات الحسابات,
Accumulated Depreciation,إستهلاك متراكم,
Accumulated Depreciation Account,حساب الاستهلاك المتراكم,
Accumulated Depreciation Amount,قيمة الاستهلاك المتراكمة,
Acquisition Date,تاريخ شراء المركبة,
Action If Quality Inspection Is Not Submitted,الإجراء إذا لم يتم تقديم استقصاء الجودة,
Action if Accumulated Monthly Budget Exceeded on Actual,أجراء في حال تجاوزت الميزانية الشهرية المتراكمة للميزانية الفعلية,
Action if Accumulated Monthly Budget Exceeded on MR,الإجراء في حالة تجاوز الميزانية الشهرية المتراكمة على MR,
Action if Accumulated Monthly Budget Exceeded on PO,أجراء في حال تجاوزت الميزانية الشهرية المتراكمة طلب الشراء,
Action if Annual Budget Exceeded on Actual,أجراء في حال تجاوزت الميزانية السنوية الميزانية المخصصة مسبقا,
Action if Annual Budget Exceeded on MR,الإجراء إذا تجاوزت الميزانية السنوية على الدخل الشهري,
Action if Annual Budget Exceeded on PO,الإجراء إذا تجاوزت الميزانية السنوية على أمر الشراء,
Actions performed,الإجراءات المنجزة,
Activity Cost,تكلفة النشاط,
Activity Type,نوع النشاط,
Actual,الفعلية,
Actual Batch Quantity,كمية الدفعة الفعلية,
Actual Date,التاريخ الفعلي,
Actual End Date,تاريخ الإنتهاء الفعلي,
Actual End Date (via Timesheet),تاريخ الإنتهاء الفعلي (عبر ورقة الوقت),
Actual End Time,الفعلي وقت الانتهاء,
Actual Operating Cost,الفعلية تكاليف التشغيل,
Actual Operation Time,الفعلي وقت التشغيل,
Actual Qty,الكمية الفعلية,
Actual Qty (at source/target),الكمية الفعلية (في المصدر / الهدف),
Actual Qty in Warehouse,الكمية الفعلية في المستودع,
Actual Start Date,تاريخ البدء الفعلي,
Actual Start Date (via Timesheet),تاريخ البدء الفعلي (عبر ورقة الوقت),
Actual Start Time,الفعلي وقت البدء,
Actual Time and Cost,الوقت الفعلي والتكلفة,
Actual Time in Hours (via Timesheet),الوقت الفعلي (بالساعات),
Add Quote,إضافة  عرض سعر,
Add Weekly Holidays,أضف عطلات أسبوعية,
Add or Deduct,إضافة أو خصم,
Add to Holidays,أضف إلى الإجازات,
Add to Transit,أضف إلى Transit,
Added By,أضيف من قبل,
Additional Asset Cost,تكلفة الأصول الإضافية,
Additional Cost,تكلفة إضافية,
Additional Cost Per Qty,التكلفة الإضافية لكل كمية,
Additional Costs,تكاليف إضافية,
Additional Details,تفاصيل اضافية,
Additional Discount,خصم إضافي,
Additional Discount Amount,مبلغ الخصم الإضافي,
Additional Discount Amount (Company Currency),مقدار الخصم الاضافي (بعملة الشركة),
Additional Discount Percentage,نسبة الخصم الإضافية,
Additional Information,معلومة اضافية,
Additional Notes,ملاحظات إضافية,
