 Default Work In Progress Warehouse , Standard Skladište Posla u Toku ,
 Is Child Table,Podređena tabela,
 Is Subcontracted,Podizvođač,
 Skip Material Transfer, Preskoči Prijenos Materijala,
%  Delivered,%  Dostavljeno,
% Amount Billed,% Fakturisano,
% Billed,% Fakturisano,
% Complete Method,% Završeno Metoda,
% Completed,% Završeno,
% Delivered,% Dostavljeno,
% Installed,% Instalirano,
% Ordered,% Naručeno,
% Picked,% Odabrano,
% Process Loss,% Procesni Gubitak,
% Produced,% Proizvedeno,
% Progress,% Napredak,
% Raw Material Received,% Primljene Sirovine,
% Raw Material Returned,% Vraćene Sirovine,
% Received,% Primljeno,
% Returned,% Vraćeno,
% of materials billed against this Sales Order,% materijala fakturisano naspram ovog Prodajnog Naloga,
% of materials delivered against this Pick List,% materijala isporučenih prema ovom Popisu Odabira,
% of materials delivered against this Sales Order,% materijala dostavljenog naspram ovog Prodajnog Naloga,
(Daily Yield * No of Units Produced) / 100,(Dnevna Proizvodnja * Broj Proizvedenih Jedinica) / 100,
(Good Units Produced / Total Units Produced) × 100,(Proizvedene Jedinice / Ukupno Proizvedenih Jedinica) × 100,
(Hour Rate / 60) * Actual Operation Time,(Satnica / 60) * Stvarno Vrijeme Operacije,
(Purchase Order + Material Request + Actual Expense),(Kupovni Nalog + Materijalni Zahtjev + Stvarni Trošak),
(Total Workstation Time / Manufacturing Time) * 60,(Ukupno Vrijeme Radne Stanice / Vrijeme Proizvodnje) * 60,
(including),(uključujući),
* Will be calculated in the transaction.,* Biće izračunato u transakciji.,
1 Loyalty Points = How much base currency?,1 Bod Lojalnosti = Koliko u osnovnoj valuti?,
1 hr,1 sat,
2 Yearly,2 Godišnje,
3 Yearly,3 Godišnje,
30 mins,30 min,
6 hrs,6 sati,
"<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->","<br>
<h4>Napomena</h4>
<ul>
<li>
Možete koristiti <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja Oznake</a> u <b>Predmet</b> i <b>Sadržaj</b> polja za dinamičke vrijednosti.
</li><li>
     Sva polja u ovom tipu dokumenta dostupna su pod objektom <b>doc</b>, a sva polja za klijenta kojem će ići pošta dostupna su pod objektom <b>Klijent</b>.
</li></ul>
<h4> Primjeri</h4>
<!-- {% raw %} -->
<ul>
     <li><b>Predmet</b>:<br><br><pre><code>Izvod računa za {{ customer.customer_name }}</code></pre><br></li>
     <li><b>Tijelo</b>: <br><br>
<pre><code>Zdravo {{ customer.customer_name }},<br>PFA vaš izvod računa od {{ doc.from_date }} do {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->",
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">Ostali Detalji</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">Nisu Pronađene Odgovarajuće Bankovne Transakcije</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3> Sve dimenzije samo u centimetrima </h3>
</div>",
"<h3>About Product Bundle</h3>

<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
<h4>Example:</h4>
<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>","<h3>O Paketu Proizvoda</h3>

<p>Spoji grupu <b>artikala</b> u drugi <b>artikal</b>. Ovo je korisno ako spajate određene <b>Artikle</b> u paket i održavate zalihe upakiranih <b>artikala</b>, a ne zbirn <b>artikal</b>.</p>
<p>Paketni <b>Artikal</b> će imati <code>artikle na zalihi</code> kao <b>Ne</b> i <code>Prodajni Artikal</code> kao <b>Da </b>.</p>
<h4>Primjer:</h4>
<p>Ako prodajete prijenosna računala i ruksake odvojeno i imate posebnu cijenu ako Klijent kupi oboje, tada će prijenosno računalo + ruksak biti novi artikal paketa proizvoda.</p>",
